x,v_ghia,v_solver,error
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.687999999999999945e-01,-5.906000000000000139e-02,-6.214518185234175346e-02,-3.085181852341752073e-03
9.608999999999999764e-01,-7.391000000000000347e-02,-7.791642332451154118e-02,-4.006423324511537709e-03
9.530999999999999472e-01,-8.863999999999999657e-02,-9.331538328740146548e-02,-4.675383287401468912e-03
9.453000000000000291e-01,-1.031299999999999994e-01,-1.084479756530758732e-01,-5.317975653075873721e-03
9.062999999999999945e-01,-1.691400000000000126e-01,-1.769332099599309205e-01,-7.793209959930907926e-03
8.594000000000000528e-01,-2.244500000000000106e-01,-2.334864527313365856e-01,-9.036452731336575006e-03
8.046999999999999709e-01,-2.453299999999999925e-01,-2.533081908313833952e-01,-7.978190831383402681e-03
5.000000000000000000e-01,5.453999999999999820e-02,5.749941296561722481e-02,2.959412965617226610e-03
2.343999999999999972e-01,1.752700000000000091e-01,1.793901750725769018e-01,4.120175072576892639e-03
2.265999999999999959e-01,1.750700000000000034e-01,1.791862351753563398e-01,4.116235175356336429e-03
1.562999999999999945e-01,1.607699999999999962e-01,1.646565150393836940e-01,3.886515039383697800e-03
9.379999999999999449e-02,1.231700000000000017e-01,1.262898063152649852e-01,3.119806315264983532e-03
7.810000000000000275e-02,1.088999999999999968e-01,1.116279686560769230e-01,2.727968656076926179e-03
7.030000000000000138e-02,1.009099999999999997e-01,1.034696068225395560e-01,2.559606822539556292e-03
6.250000000000000000e-02,9.232999999999999541e-02,9.470103635432702838e-02,2.371036354327032969e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
